id gender age
0 0 1983
1 0 1973
2 0 1991
3 0 1983
4 0 1982
5 0 1974
6 0 1990
7 0 1982
8 0 1984
9 0 1984
10 0 1975
11 0 1984
12 0 1993
13 0 1994
14 0 1986
15 0 1983
16 1 1978
17 0 1990
18 0 1980
19 0 1988
20 0 1983
21 0 1990
22 1 1977
23 0 1990
24 0 1982
25 0 1992
26 0 1983
27 0 1987
28 1 1976
29 0 1985
30 1 1985
31 0 1983
32 0 1985
33 0 1974
34 1 1985
35 0 1989
36 0 1982
37 0 1990
38 0 1982
39 1 1997
40 0 1976
41 1 1966
42 0 1985
43 0 1982
44 0 1984
45 1 1974
46 0 1995
47 0 1990
48 1 1978
49 0 1984
50 0 1992
51 0 1994
52 0 1981
53 0 1978
54 0 1982
55 0 1979
56 0 1989
57 0 1988
58 0 1992
59 1 1971
60 0 1971
61 0 1978
62 0 1983
63 0 1991
64 0 1985
65 0 1984
66 0 1985
67 0 1980
68 0 1966
69 0 1968
70 0 1986
71 0 1971
72 0 1986
73 0 1980
74 1 1994
75 0 1983
76 0 1988
77 1 1989
78 0 1990
79 0 1976
80 0 1989
81 0 1960
82 0 1950
83 0 1987
84 0 1985
85 0 1990
86 0 1986
87 0 1987
88 0 1975
89 0 1991
90 0 1970
91 0 1974
92 0 1989
93 1 1973
94 0 1995
95 0 1980
96 0 1997
97 1 1968
98 0 1974
99 0 1994
100 0 1971
101 0 1997
102 0 1975
103 0 1980
104 0 1982
105 0 1990
106 0 1985
107 0 1984
108 0 1984
109 0 1994
110 0 1971
111 0 1979
112 1 1988
113 0 1983
114 0 1974
115 0 1990
116 0 1987
117 0 1990
118 0 1987
119 0 1994
120 1 1955
121 0 1979
122 0 1980
123 1 1994
124 0 1982
125 0 1987
126 0 1972
127 0 1984
128 0 1994
129 0 1987
130 0 1984
131 1 2004
132 0 1991
133 0 1998
134 0 1993
135 0 1976
136 0 1985
137 0 1980
138 0 1988
139 0 1981
140 0 1978
141 0 1984
142 0 1988
143 0 1986
144 0 1990
145 0 1968
146 0 1979
147 0 1981
148 0 1987
149 0 1966
150 0 1988
151 0 1987
152 0 1979
153 0 2002
154 0 1980
155 0 1973
156 0 1978
157 0 1978
158 0 1987
159 0 1980
160 0 1973
161 0 1983
162 1 1970
163 0 1991
164 0 1979
165 1 1991
166 0 1993
167 1 1989
168 1 1991
169 0 1996
170 0 1974
171 0 1982
172 0 1976
173 0 1993
174 1 1976
175 0 1986
176 0 1993
177 0 1993
178 0 1984
179 0 1984
180 0 1984
181 0 1983
182 0 1990
183 0 1979
184 0 1985
185 0 1992
186 0 1992
187 0 1990
188 0 1980
189 0 1982
190 0 1984
191 0 1989
192 0 1970
193 0 1991
194 0 1989
195 0 1987
196 0 1981
197 0 1982
198 0 1972
199 0 1979
200 0 1971
201 0 1977
202 0 1981
203 0 1978
204 0 1985
205 0 1993
206 0 1991
207 0 1974
208 0 1983
209 1 1983
210 0 1991
211 0 1988
212 0 1979
213 0 1990
214 0 1984
215 0 1973
216 1 1994
217 0 1991
218 0 1983
219 0 1975
220 0 1976
221 1 1976
222 0 1985
223 0 1984
224 1 1977
225 1 1978
226 0 1982
227 0 1983
228 0 1977
229 0 1982
230 0 1986
231 0 1993
232 0 1976
233 0 1985
234 0 1981
235 0 1971
236 0 1995
237 0 1975
238 0 1994
239 0 1983
240 0 1975
241 0 1976
242 0 1974
243 0 1989
244 0 1981
245 0 1981
246 0 1979
247 0 1985
248 0 1985
249 0 1986
250 0 1994
251 0 1994
252 0 1985
253 0 1974
254 0 1975
255 1 1981
256 0 1970
257 0 1973
258 0 1984
259 0 1979
260 0 1983
261 0 1983
262 0 1985
263 0 1981
264 0 1982
265 0 1982
266 0 1989
267 0 1982
268 0 1989
269 0 1981
270 0 1997
271 0 1991
272 0 1979
273 0 1983
274 0 1979
275 0 1985
276 0 1993
277 0 1982
278 0 1983
279 0 1982
280 0 1979
281 0 1996
282 0 1983
283 0 1990
284 0 1970
285 0 1985
286 0 1993
287 0 1977
288 0 1996
289 0 1984
290 0 1971
291 0 1962
292 0 1996
293 0 1985
294 0 1982
295 0 1972
296 0 1983
297 0 1983
298 0 1993
299 1 1981
300 0 1991
301 0 1984
302 0 1991
303 0 1993
304 0 1984
305 0 1981
306 0 1978
307 0 1992
308 0 1988
309 0 1986
310 0 1988
311 0 1990
312 0 1981
313 0 1984
314 0 1977
315 1 1982
316 1 1979
317 0 1977
318 0 1983
319 0 1986
320 0 1983
321 0 1991
322 0 1978
323 0 1970
324 0 1989
325 0 1966
326 0 1983
327 0 1977
328 0 1971
329 1 1966
330 0 1983
331 0 1978
332 0 1969
333 0 1980
334 0 1994
335 0 1984
336 0 1990
337 0 1968
338 0 1978
339 1 1982
340 0 1982
341 1 1979
342 0 1982
343 0 1996
344 0 1981
345 0 1993
346 0 1997
347 0 1990
348 0 1993
349 0 1988
350 0 2002
351 0 1998
352 0 1978
353 1 1987
354 0 1981
355 0 1979
356 0 1983
357 0 1976
358 0 1978
359 0 1970
360 0 1975
361 1 1987
362 1 1977
363 0 1989
364 0 1993
365 0 1980
366 1 1977
367 1 1981
368 0 1995
369 0 1986
370 0 1985
371 0 1982
372 0 1979
373 0 1977
374 0 1978
375 0 1977
376 1 1969
377 0 1984
378 0 1975
379 0 1982
380 0 1987
381 0 1976
382 0 1979
383 0 1983
384 1 1987
385 0 1981
386 0 1979
387 0 1984
388 0 1975
389 0 1980
390 0 1977
391 0 1977
392 0 1975
393 0 1981
394 0 1982
395 0 1986
396 0 1980
397 0 1979
398 0 1976
399 0 1983
400 0 1983
401 0 1978
402 0 1950
403 0 1978
404 0 1974
405 0 1974
406 1 1974
407 1 1981
408 0 1979
409 0 1977
410 0 1984
411 0 1971
412 0 1979
413 0 1987
414 0 1978
415 0 1969
416 1 1980
417 0 1993
418 0 1969
419 0 1981
420 0 1984
421 0 1980
422 0 1984
423 0 1977
424 0 1980
425 0 1973
426 0 1981
427 0 1977
428 0 1983
429 0 1982
430 0 1977
431 0 1989
432 0 1977
433 0 1982
434 0 1979
435 0 1981
436 0 1982
437 0 1979
438 0 1987
439 0 1981
440 0 1979
